Code,Name,City,State
EUG,Eugene Airport,Eugene,OR
LMT,Klamath Falls Airport,Klamath Falls,OR
MFR,Medford Rogue Valley International Airport,Medford,OR
MMV,Mc Minnville Municipal Airport,Mc Minnville,OR
ONP,Newport Municipal Airport,Newport,OR
OTH,North Bend Municipal Airport,North Bend,OR
PDT,Eastern Oregon Regional Airport At Pendleton,Pendleton,OR
PDX,Portland International Airport,Portland,OR
RDM,Roberts Field,Redmond,OR
SLE,Salem Municipal Airport - McNary Field,Salem,OR
ABE,Lehigh Valley International Airport,Allentown,PA
AGC,Allegheny County Airport,Pittsburgh,PA
AOO,Altoona-Blair County Airport,Altoona,PA
AVP,Wilkes-Barre/Scranton International Airport,Avoca,PA
BFD,Bradford Regional Airport,Bradford,PA
DUJ,Du Bois-Jefferson County Airport,Du Bois,PA
ERI,Erie International Airport,Erie,PA
FKL,Venango Regional Airport,Franklin,PA
IPT,Williamsport Regional Airport,Williamsport,PA
JST,Johnstown-Cambria County Airport,Johnstown,PA
LBE,Arnold Palmer Regional Airport,Latrobe,PA
LNS,Lancaster Airport,Lancaster,PA
MDT,Harrisburg International Airport,Harrisburg,PA
PHL,Philadelphia International Airport,Philadelphia,PA
PIT,Pittsburgh International Airport,Pittsburgh,PA
RDG,Reading Regional Airport,Reading,PA
UNV,University Park Airport,State College,PA
SCE,"State College, PA: University Park",State College,PA
BID,Block Island State Airport,Block Island,RI
OQU,Quonset State Airport,North Kingstown,RI
PVD,T.F. Green Airport,Providence,RI
SFZ,North Central State Airport,Pawtucket,RI
UUU,Newport State Airport,Newport,RI
WST,Westerly State Airport,Westerly,RI
AND,Anderson Regional Airport,Anderson,SC
CAE,Columbia Metropolitan Airport,Columbia,SC
CHS,Charleston International Airport,Charleston,SC
FLO,Florence Regional Airport,Florence,SC
GSP,Greenville / Spartanburg Airport,Greenville,SC
GYH,Donaldson Center Airport,Greenville,SC
HXD,Hilton Head Airport,Hilton Head Island,SC
MYR,Myrtle Beach Airport,Myrtle Beach,SC
HHH,"Hilton Head, SC: Hilton Head Airport",Hilton Head Island,SC
ABR,Aberdeen Regional Airport,Aberdeen,SD
ATY,Watertown Municipal Airport,Watertown,SD
BKX,Brookings Municipal Airport,Brookings,SD
FSD,Sioux Falls Regional Airport,Sioux Falls,SD
HON,Huron Regional Airport,Huron,SD
MHE,Mitchell Municipal Airport,Mitchell,SD
PIR,Pierre Regional Airport,Pierre,SD
RAP,Rapid City Regional Airport,Rapid City,SD
YKN,Chan Gurney Municipal Airport,Yankton,SD
BNA,Nashville International Airport,Nashville,TN
CHA,Chattanooga Metropolitan Airport,Chattanooga,TN
MEM,Memphis Airport,Memphis,TN
MKL,Mc Kellar-Sipes Regional Airport,Jackson,TN
MQY,Smyrna Airport,Smyrna,TN
NQA,Millington Regional Jetport,Millington,TN
TRI,Tri-Cities Regional Airport,Blountville,TN
TYS,Mcghee Tyson Airport,Knoxville,TN
ABI,Abilene Regional Airport,Abilene,TX
ACT,Waco Regional Airport,Waco,TX
AMA,Amarillo International Airport,Amarillo,TX
AUS,Austin-Bergstrom International Airport,Austin,TX
BPT,Southeast Texas Regional Airport,Beaumont / Port Arthur,TX
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX
CLL,Easterwood Airport,College Station,TX
CRP,Corpus Christi International Airport,Corpus Christi,TX
DAL,Dallas Love Field,Dallas,TX
DFW,Dallas/Fort Worth International Airport,Dallas,TX
DRT,Del Rio International Airport,Del Rio,TX
EFD,Ellington Field,Houston,TX
ELP,El Paso International Airport,El Paso,TX
FTW,Fort Worth Meacham International Airport,Fort Worth,TX
GGG,East Texas Regional Airport,Longview,TX
GLS,Galveston/Scholes International Airport,Galveston,TX
GRK,Killeen-Fort Hood Regional Airport,Fort Hood / Killeen,TX
HOU,Hobby Airport,Houston,TX
HRL,Valley International Airport,Harlingen,TX
IAH,Bush Intercontinental Airport,Houston,TX
ILE,Skylark Field,Killeen,TX
LBB,Lubbock International Airport,Lubbock,TX
LBX,Brazoria County Airport,Angleton/Lake Jackson,TX
LRD,Laredo International Airport,Laredo,TX
MAF,Midland International Airport,Midland,TX
MFE,Mcallen-Miller International Airport,Mcallen,TX
SAT,San Antonio International Airport,San Antonio,TX
SJT,San Angelo Regional Airport/Mathis Field,San Angelo,TX
SPS,Wichita Falls Municipal Airport,Wichita Falls,TX
TPL,Draughon-Miller Central Texas Regional Airport,Temple,TX
TYR,Tyler Pounds Regional Airport,Tyler,TX
VCT,Victoria Regional Airport,Victoria,TX
BCE,Bryce Canyon Airport,Bryce Canyon,UT
CDC,Cedar City Regional Airport,Cedar City,UT
CNY,Canyonlands Field,Moab,UT
OGD,Ogden-Hinckley Airport,Ogden,UT
PVU,Provo Municipal Airport,Provo,UT
SGU,St George Municipal Airport,St George,UT
SLC,Salt Lake City International Airport,Salt Lake City,UT
VEL,"Vernal, UT: Vernal Regional",Vernal,UT
BTV,Burlington International Airport,South Burlington,VT
DDH,William H. Morse State Airport,Bennington,VT
EFK,Newport State Airport,Newport,VT
MPV,Edward F. Knapp State Airport,Barre/Montpelier,VT
MVL,Morrisville-Stowe State Airport,Morrisville,VT
RUT,Rutland State Airport,Rutland,VT
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA
DAN,Danville Regional Airport,Danville,VA
LYH,Lynchburg Regional Airport/Preston Glenn Field,Lynchburg,VA
ORF,Norfolk International Airport,Norfolk,VA
PHF,Newport News/Williamsburg International Airport,Newport News,VA
RIC,Richmond International Airport,Richmond,VA
ROA,Roanoke Regional Airport,Roanoke,VA
SHD,Shenandoah Valley Regional Airport,Harrisonburg,VA
74S,Anacortes Airport,Anacortes,WA
ALW,Walla Walla Regional Airport,Walla Walla,WA
BFI,Boeing Field/King County International Airport,Seattle,WA
BLI,Bellingham International Airport,Bellingham,WA
CLM,William R Fairchild International Airport,Port Angeles,WA
EAT,Pangborn Memorial Airport,Wenatchee,WA
FHR,Friday Harbor Airport,Friday Harbor,WA
GEG,Spokane International Airport,Spokane,WA
MWH,Grant County International Airport,Moses Lake,WA
OLM,Olympia Airport,Olympia,WA
ORS,Orcas Island Airport,Eastsound,WA
PAE,Snohomish County Airport (Paine Field),Everett,WA
PSC,Tri-Cities Airport,Pasco,WA
PUW,Pullman / Moscow Regional Airport,"Pullman / Moscow, ID",WA
PWT,Bremerton National Airport,Bremerton,WA
SEA,Seattle/Tacoma International Airport,Seattle,WA
YKM,Yakima Air Terminal/Mcallister Field,Yakima,WA
BKW,Raleigh County Memorial Airport,Beckley,WV
CKB,Harrison/Marion Regional Airport,Clarksburg,WV
CRW,Charleston Yeager Airport,Charleston,WV
HTS,Tri-State Airport,Huntington,WV
LWB,Greenbrier Valley Airport,Lewisburg,WV
MGW,Morgantown Municipal Airport,Morgantown,WV
PKB,Mid-Ohio Valley Regional Airport,Parkersburg,WV
ATW,Outagamie County Regional Airport,Appleton,WI
CWA,Central Wisconsin Airport,Mosinee,WI
EAU,Chippewa Valley Regional Airport,Eau Claire,WI
ENW,Kenosha Regional Airport,Kenosha,WI
GRB,Austin Straubel International Airport,Green Bay,WI
JVL,Southern Wisconsin Regional Airport,Janesville,WI
LSE,La Crosse Municipal Airport,La Crosse,WI
MKE,General Mitchell International Airport,Milwaukee,WI
MSN,Dane County Regional Airport,Madison,WI
OSH,Wittman Regional Airport,Oshkosh,WI
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI
COD,Yellowstone Regional Airport,Cody,WY
CPR,Natrona County International Airport,Casper,WY
CYS,Cheyenne Regional Airport,Cheyenne,WY
GCC,Gillette-Campbell County Airport,Gillette,WY
JAC,Jackson Hole Airport,Jackson,WY
LAR,Laramie Regional Airport,Laramie,WY
RIW,Riverton Regional Airport,Riverton,WY
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY
SHR,Sheridan County Airport,Sheridan,WY
WRL,Worland Municipal Airport,Worland,WY
DCA,Ronald Reagan Washington National Airport,Washington,DC
IAD,Washington Dulles International Airport,Washington,DC
